Code,Airport
AKF,Kufra Airport
AKG,Anguganak Airport
AKH,Prince Sultan Air Base
AKI,Akiak Airport
AKJ,Asahikawa Airport
AKK,Akhiok Airport
AKL,Auckland International Airport
AKM,Zakuoma Airport
AKN,King Salmon Airport
AKO,Colorado Plains Regional Airport
AKP,Anaktuvuk Pass Airport
AKQ,Gunung Batin Airport
AKR,Akure Airport
AKS,Gwaunaru'u Airport
AKT,RAF Akrotiri
AKU,Aksu Airport
AKV,Akulivik Airport
AKW,Aghajari Airport
AKX,Aktobe Airport
AKY,Sittwe Airport
ALA,Almaty Airport
ALB,Albany International Airport
ALC,Alicante International Airport
ALD,Alerta Airport
ALE,Alpine Casparis Municipal Airport
ALF,Alta Airport
ALG,Houari Boumediene Airport
ALH,Albany Airport
ALI,Alice International Airport
ALJ,Alexander Bay Airport
ALL,Villanova D'Albenga International Airport
ALM,Alamogordo White Sands Regional Airport
ALN,St Louis Regional Airport
ALO,Waterloo Regional Airport
ALP,Aleppo International Airport
ALQ,Alegrete Novo Airport
ALR,Alexandra Airport
ALS,San Luis Valley Regional Bergman Field
ALT,Alenquer Airport
ALU,Alula Airport
ALV,Andorra la Vella Heliport
ALW,Walla Walla Regional Airport
ALX,Thomas C Russell Field
ALY,El Nouzha Airport
ALZ,Alitak Seaplane Base
AMA,Rick Husband Amarillo International Airport
AMB,Ambilobe Airport
AMC,Am Timan Airport
AMD,Sardar Vallabhbhai Patel International Airport
AME,Alto Molocue Airport
AMF,Ama Airport
AMH,Arba Minch Airport
AMI,Selaparang Airport
AMJ,Cirilo Queir??z Airport
AMK,Animas Air Park
AML,Puerto Armuelles Airport
AMM,Queen Alia International Airport
AMN,Gratiot Community Airport
AMO,Mao Airport
AMP,Ampanihy Airport
AMQ,"Pattimura Airport, Ambon"
AMS,Amsterdam Airport Schiphol
AMT,Amata Airport
AMU,Amanab Airport
AMV,Amderma Airport
AMW,Ames Municipal Airport
AMX,Ammaroo Airport
AMY,Ambatomainty Airport
AMZ,Ardmore Airport
ANA,Angama Airport
ANB,Anniston Regional Airport
ANC,Ted Stevens Anchorage International Airport
AND,Anderson Regional Airport
ANE,Angers-Loire Airport
ANF,Andr??s Sabella G?­lvez International Airport
ANG,Angoul?¦me-Brie-Champniers Airport
ANH,Anuha Island Resort Airport
ANI,Aniak Airport
ANJ,Zanaga Airport
ANK,Etimesgut Air Base
ANL,Andulo Airport
ANM,Antsirabato Airport
ANN,Annette Island Airport
ANO,Angoche Airport
ANP,Lee Airport
ANQ,Tri State Steuben County Airport
ANR,Antwerp International Airport (Deurne)
